24.0,26.93,-135.64,25.78,-5.97,1.0
21.0,24.15,-138.58,24.57,-8.44,0.0
18.0,21.73,-134.25,20.95,-4.78,1.0
22.0,24.07,-135.53,23.69,-6.44,1.0
21.0,23.97,-137.67,23.19,-8.18,1.0
21.0,23.39,-137.16,24.4,-8.37,1.0
21.0,23.31,-135.69,22.96,-6.58,1.0
21.0,22.83,-139.02,21.68,-9.27,0.0
23.0,27.12,-135.76,27.22,-6.86,1.0
21.0,24.24,-134.7,23.37,-5.46,1.0
21.0,24.14,-137.41,24.06,-8.23,1.0
20.0,22.88,-135.13,23.15,-5.21,1.0
25.0,27.98,-134.2,27.3,-5.06,1.0
26.0,28.52,-134.3,28.7,-4.63,1.0
23.0,25.58,-136.01,24.65,-7.1,1.0
23.0,26.08,-135.98,25.12,-6.84,1.0
22.0,26.13,-136.68,24.24,-7.18,1.0
18.0,21.23,-134.24,20.98,-5.76,1.0
23.0,26.1,-135.8,25.8,-6.23,1.0
24.0,26.23,-134.77,27.52,-6.15,1.0
24.0,26.65,-135.18,26.35,-5.93,1.0
26.0,28.33,-134.31,26.81,-5.14,1.0
22.0,24.49,-135.06,24.16,-5.94,1.0
23.0,25.72,-136.52,24.18,-7.13,1.0
22.0,25.2,-135.92,24.67,-6.21,1.0
19.0,21.43,-137.6,21.76,-8.55,1.0
23.0,25.1,-136.22,24.39,-7.1,1.0
23.0,25.94,-136.85,26.31,-8.08,1.0
18.0,21.01,-134.76,21.15,-6.16,1.0
22.0,24.78,-137.39,24.11,-8.17,1.0
23.0,26.75,-136.48,25.6,-7.36,1.0
21.0,24.87,-135.03,23.73,-6.39,1.0
21.0,23.25,-137.68,24.12,-8.35,1.0
24.0,27.52,-134.18,26.99,-4.28,1.0
25.0,26.71,-134.6,27.59,-5.39,1.0
21.0,22.87,-138.1,22.82,-9.22,1.0
22.0,24.22,-135.79,24.84,-6.59,1.0
21.0,22.49,-134.52,24.51,-4.69,1.0
22.0,24.93,-136.82,24.72,-7.45,1.0
22.0,24.46,-137.24,23.44,-7.76,1.0
20.0,22.98,-136.07,23.25,-6.72,1.0
19.0,22.03,-139.55,20.93,-10.92,0.0
24.0,25.31,-135.95,24.81,-6.87,1.0
